-20.0,-0.3984580447673191
-19.2,-0.3876013209775334
-18.4,-0.37677074273467387
-17.6,-0.3667661281905135
-16.8,-0.3567615136463531
-16.0,-0.3465766288347747
-15.2,-0.33577303032588296
-14.399999999999999,-0.32496943181699117
-13.6,-0.31416583330809944
-12.8,-0.30273063440343445
-12.0,-0.29111875978242907
-11.2,-0.27950688516142375
-10.399999999999999,-0.2673068127012235
-9.6,-0.25490584922091764
-8.799999999999999,-0.2425048857406118
-8.0,-0.2289933981578936
-7.199999999999999,-0.21511796159263707
-6.399999999999999,-0.20124252502738052
-5.6,-0.187367088462124
-4.799999999999999,-0.17138860766749373
-4.0,-0.15346710125541657
-3.1999999999999993,-0.13554559484333936
-2.3999999999999986,-0.11762408843126215
-1.5999999999999979,-0.08945379660487927
-0.7999999999999972,-0.060143608051045204
0.0,-0.030833419497211252
