CH,CHbox,CHD,CHW,CHB,CHWB
-32.0,0.660932796773305,-0.024161573787187942,0.018400147753259887,-0.005872916849682554,-0.007245184452486279
-31.346938775510203,0.6204896718231258,-0.024130158562266604,0.018067772971485714,-0.005717023793100613,-0.007054304721725077
-30.693877551020407,0.5800465468729462,-0.024098743337345255,0.017735398189711534,-0.0055611307365186725,-0.006863424990963873
-30.040816326530614,0.5396034219227672,-0.024067328112423916,0.01740302340793736,-0.005405237679936732,-0.006672545260202672
-29.387755102040817,0.4991602969725878,-0.024035912887502574,0.017070648626163185,-0.005249344623354792,-0.006481665529441468
-28.73469387755102,0.45871717202240847,-0.024004497662581233,0.016738273844389008,-0.005093451566772851,-0.006290785798680264
-28.081632653061224,0.41827404707222915,-0.02397308243765989,0.01640589906261483,-0.004937558510190909,-0.006099906067919061
-27.42857142857143,0.37783092212204994,-0.02394166721273855,0.016073524280840655,-0.004781665453608969,-0.00590902633715786
-26.775510204081634,0.3373877971718706,-0.023910251987817207,0.01574114949906648,-0.004625772397027029,-0.0057181466063966555
-26.122448979591837,0.29694467222169124,-0.023878836762895865,0.015408774717292302,-0.0044698793404450874,-0.0055272668756354525
-25.46938775510204,0.25650154727151186,-0.023847421537974523,0.015076399935518126,-0.004313986283863147,-0.0053363871448742495
-24.816326530612244,0.21761363718103885,-0.024071058560317656,0.014788480852089263,-0.0041469734435350975,-0.005072744764235629
-24.163265306122447,0.18345971782161202,-0.025071060961982437,0.01463588253324508,-0.0039461125770923495,-0.0045876167747525235
-23.510204081632654,0.1493057984621854,-0.026071063363647215,0.014483284214400899,-0.003745251710649602,-0.004102488785269419
-22.857142857142858,0.11515187910275859,-0.027071065765311996,0.014330685895556717,-0.003544390844206854,-0.0036173607957863145
-22.204081632653065,0.08834149935501076,-0.026557566147736224,0.01386266822574698,-0.0034135562341533372,-0.003507407696722315
-21.551020408163268,0.0647751013648321,-0.02537548255021535,0.01325531521159058,-0.003313655466672993,-0.003563186732946601
-20.89795918367347,0.041208703374653446,-0.024193398952694477,0.012647962197434179,-0.00321375469919265,-0.003618965769170887
-20.244897959183675,0.017642305384474775,-0.023011315355173603,0.012040609183277779,-0.0031138539317123065,-0.003674744805395173
-19.591836734693878,-0.005924092605703889,-0.02182923175765273,0.011433256169121381,-0.003013953164231963,-0.0037305238416194594
-18.93877551020408,-0.025399714883951725,-0.021773612311166965,0.011127258545698869,-0.002856217129249922,-0.003534092252426198
-18.285714285714285,-0.04234223073456628,-0.022415526482367287,0.011007867407458027,-0.002662668109599676,-0.003181485795346803
-17.63265306122449,-0.059284746585180736,-0.023057440653567605,0.010888476269217188,-0.002469119089949432,-0.002828879338267411
-16.979591836734695,-0.07622726243579529,-0.023699354824767926,0.010769085130976347,-0.0022755700702991864,-0.0024762728811880156
-16.3265306122449,-0.09316977828640985,-0.02434126899596825,0.010649693992735505,-0.002082021050648941,-0.0021236664241086212
-15.673469387755102,-0.10708694415488289,-0.024327066779319416,0.010426619529848783,-0.0019246795344088556,-0.0018602481251101589
-15.020408163265309,-0.11737495962336886,-0.023525800234425402,0.01007916858776734,-0.0018107718278962983,-0.001703818188279438
-14.367346938775512,-0.1276629750918549,-0.02272453368953138,0.009731717645685891,-0.0016968641213837407,-0.0015473882514487158
-13.714285714285715,-0.1379509905603409,-0.021923267144637357,0.009384266703604444,-0.0015829564148711827,-0.0013909583146179938
-13.061224489795919,-0.14823900602882698,-0.021122000599743337,0.009036815761523,-0.001469048708358625,-0.0012345283777872717
-12.408163265306126,-0.1536959637306315,-0.020277001324904655,0.00871693163037756,-0.001385822596672913,-0.00114311644097532
-11.755102040816329,-0.15834007665944264,-0.01942464384350727,0.008401685725322476,-0.001307758785913119,-0.0010626440424628752
-11.102040816326532,-0.1629841895882538,-0.018572286362109884,0.008086439820267393,-0.0012296949751533252,-0.0009821716439504305
-10.448979591836736,-0.16762830251706495,-0.0177199288807125,0.007771193915212308,-0.001151631164393531,-0.0009016992454379856
-9.795918367346939,-0.1720992677298083,-0.017030428169436933,0.0074701941066540045,-0.0010631427687757317,-0.0007937699175906895
-9.142857142857146,-0.17405536903546598,-0.018706321715187026,0.007376110073309149,-0.0008232437002300693,-0.0002870456061781613
-8.48979591836735,-0.17601147034112366,-0.020382215260937128,0.0072820260399642945,-0.0005833446316844057,0.00021967870523436955
-7.836734693877553,-0.17796757164678134,-0.02205810880668723,0.007187942006619437,-0.000343445563138742,0.0007264030166469005
-7.183673469387756,-0.179923672952439,-0.02373400235243733,0.007093857973274581,-0.00010354649459307835,0.001233127328059431
-6.530612244897963,-0.17426056484441027,-0.023409820992423305,0.006673847764935243,1.9116903560398124e-05,0.0013063208600417936
-5.877551020408166,-0.16635506510484868,-0.02249700228335994,0.0061579149893552275,0.00010727694684711653,0.0012519229663232418
-5.22448979591837,-0.15844956536528715,-0.021584183574296582,0.005641982213775213,0.00019543699013383492,0.0011975250726046901
-4.571428571428573,-0.1505440656257256,-0.02067136486523322,0.005126049438195198,0.0002835970334205533,0.0011431271788861382
-3.9183673469387763,-0.1406949483079225,-0.021088510203700478,0.004709608682179211,0.0004736207807242599,0.0013687279564723936
-3.265306122448983,-0.12790552992430523,-0.023517622685409405,0.00444367926874369,0.0008177437504480037,0.0020179102044469493
-2.6122448979591866,-0.11511611154068789,-0.025946735167118352,0.004177749855308169,0.0011618667201717492,0.0026670924524215085
-1.95918367346939,-0.10232669315707056,-0.028375847648827293,0.003911820441872647,0.001505989689895495,0.0033162747003960672
-1.3061224489795933,-0.08953727477345322,-0.030804960130536237,0.0036458910284371242,0.0018501126596192404,0.003965456948370626
-0.6530612244897966,-0.07674785638983586,-0.03323407261224518,0.003379961615001602,0.002194235629342986,0.004614639196345184
0.0,-0.06395843800621855,-0.03566318509395412,0.0031140322015660808,0.002538358599066732,0.005263821444319745
